code,title,credit_hours,description
MUS 3337,Music Theory IV,3,"Continuation of MUS 3336 and includes the study of harmonic practices from the Post-Romantic, 
Impressionistic, and Twentieth Century periods of music history and the use of extended and new 
harmonic practices.

Prerequisites: MUS 3336

Corequisites: "
MUS 3338,Composing and Arranging,3,"Composing and Arranging builds on the skills developed in Music Theory and Aural Skills.  
Students will study various compositional styles, compose original works, study various arranging 
techniques, and arrange music for a variety of instruments and ensembles.

Prerequisites: MUS 2118, 2119, 2334, 2335, and 3336

Corequisites: "
MUS 3342,History of Music I,3,"Music, composers and instruments of ancient, Medieval, Renaissance and Baroque eras.

Prerequisites: MUS 2335

Corequisites: "
MUS 3344,History of Music II),3,"Music, composers and instruments of late Baroque, Classical, Romantic, and moderneras.

Prerequisites: MUS 2335

Corequisites: "
MUS 3356,Choral Methods,3,"Administering the adult choral program; conducting technique development; choral literature 
analysis and selection; service and program planning.

Prerequisites: MUS 2335 and MUS 3223

Corequisites: "
MUS 3362,Worship and Music,3,"Music and Worship explores the various musical influences on Christian Worship throughout 
history.  Particular attention will be given to hymns and music from the Lutheran tradition, 
especially as that tradition is represented in the Lutheran Service Book. At the same time, music 
from other Christian traditions will also receive significant attention in this course. At the end of the 
course, students will be able to assess and select musical resources appropriate to a worship 
context.

Prerequisites: None

Corequisites: "
MUS 4105,Music Recital,4,"One-hour public musical recital displaying student's ability to perform solo music in a variety of 
genre and historical styles. Must also register for two credits of private music instruction on 
corresponding musical instrument.

Prerequisites: Consent of instructor. Course Fee: $100

Corequisites: "
MUS 4110,Worship Internship,4,"A review of the principles for administering and managing a parish worship program and 
application of these principles in a supervised parish experience. Music majors will generally pursue 
this internship in the last year of attendance. Fulfills Experiential Learning requirement.

Prerequisites: None. Course Fee: $250

Corequisites: "
MUS 4112,Service Playing,4,"Service playing teaches the fundamentals of accompanying congregational song, including tempo, 
articulation, and phrasing.  Advanced students will also learn song introductions, improvisation, 
alternative harmonizations, and other aspects of arranging. Students may engage the course on 
their primary instrument and may also learn the skill on a secondary instrument.  Throughout the 
course, students will learn a variety of hymns, songs, canticles, and other music of the church.

Prerequisites: MUS 2334; MUS 2335 and MUS 3336 also recommended, but not required.

Corequisites: "
MUS 4212,Music in the Church,4,"Skills required of a church musician, studying liturgies and organizational practices of the Lutheran 
Church - Missouri Synod.  This course is required for those seeking a Director of Parish Music 
(DPM) certification.

Prerequisites: MUS 1112 and consent of instructor

Corequisites: "
NUR 3250,Pharmacology for Nurses I,3,"Evidence based practice is used to introduce the pharmacotherapeutic concepts.  These concepts 
are incorporated into nursing practice to improve patient care for adults with low to moderate-
acuity health problems. Emphasis is placed on principles of medication safety in the administration 
of medications and patient education.  Major drug classifications, through the use of prototypes, are 
used to facilitate student learning.  The impact of technology, economic, and regulatory forces as 
well as collaboration with the health team are discussed. Ethical/legal and cultural considerations 
are explored across the life span.

Prerequisites: Successful completion of Pre-Nursing requirements and admission to the Professional

Corequisites: "
NUR 3325,Adult Health I Skills,3,"The Adult Health I Skills course allows the application of the knowledge, principles, concepts, and 
attitudes necessary to perform a health assessment and provide basic care for persons experiencing 
low to moderate acuity health problems. The course focuses on the ability of the student to 
accurately and safely perform the skills in accordance with current practice.

Prerequisites: Successful completion of Pre-Nursing requirements and admission to the Professional

Corequisites: "
NUR 3330,Foundations of Professional Nursing,3,"This course is an introduction to the philosophy and theory of nursing, the nursing process, critical 
thinking, clinical judgment and professionalism.  The course enculturates the nursing student into 
professional behaviors, norms, comportment, and practice via: ethical and legal principles, 
regulatory agencies and professional organizations, Interdisciplinary relationships, bedside 
leadership/management, and roles of professional nurses.

Prerequisites: Successful completion of Pre-Nursing requirements and admission to the Professional

Corequisites: "
NUR 3535,Adult Health I Theory,3,"This course teaches the knowledge, skills, and attitudes necessary in the provision of nursing care 
for adults with low to moderate-acuity health problems and behavioral health problems. This course 
fulfills the Wellness requirement of the Concordia Common Experience curriculum.

Prerequisites: Successful completion of Pre-Nursing requirements and admission to the Professional

Corequisites: "
NUR 3251,Pharmacology for Nurses II,3,"This course is intended to develop the student’s ability to critically think by identifying medications 
for use in treating, whether for cure or maintenance, specific disease processes. The student will be 
able to identify the correct medication, indications and side effects, research findings and evidence-
based nursing practice regarding class, safety, efficacy, and monitoring of medications will be 
utilized. Additionally, major classifications of drugs; pharmacology and toxicology activity; clinical 
applications, and the role of the nurse in assessment, intervention, and patient education will be 
discussed.

Prerequisites: Successful completion of all J1 courses.

Corequisites: "
NUR 3320,Maternal/Newborn Theory,3,"This course provides relevant instructional learning experiences of the knowledge, skills, and 
attitudes necessary in the provision of quality, patient-centered nursing care to meet the 
physiological and psychological needs of the childbearing family during the antepartum, 
intrapartum, postpartum and newborn period in a variety of settings.

Prerequisites: Successful completion of all J1 courses.

Corequisites: "
NUR 3365,Adult Health II Theory,3,"This course teaches the knowledge, skills, and attitudes necessary in the provision of patient-
centered nursing care for adults with complex health problems. Emphasis is placed on application 
of the nursing process and critical thinking utilizing research-based nursing practice in the context 
of patient centered care for health restoration, health promotion and health maintenance.

Prerequisites: Successful completion of all J1 courses.

Corequisites: "
NUR 3366,Adult Health II Skills,3,"This skills course teaches the knowledge, skills, and attitudes necessary for the application of 
advanced skills required to care for persons experiencing complex health problems. The course 
focuses on accuracy and safety of skill demonstration.

Prerequisites: Successful completion of all J1 courses.

Corequisites: "
NUR 4310,Nursing Research,4,"This course provides an introduction to nursing research and research utilization through evidence-
based practice in the clinical practice of nursing.  Students will use critical thinking to apply 
research directly to patient care while learning to formulate clinical questions, search for and 
identify best evidence, and appraise that evidence for rigor and applicability to clinical problems. 
Basic principles of scientific inquiry, quantitative and qualitative research methods and research 
ethics are introduced in the context of clinically relevant research and translated to evidence-based 
practice.

Prerequisites: Successful completion of all J2 courses.

Corequisites: "
NUR 4332,Child and Family Nursing Theory,4,"This course develops the student’s ability to provide family-centered care to children, adolescents, 
and their families and to participate in strategies to improve the safety and quality of care.  Students 
will incorporate into nursing care the concepts of cognition and behavioral health in order to 
enhance their  ability to promote high-quality, safe, family-centered nursing care to children, 
adolescents, and their families within a variety of healthcare settings. 
Pre-requisites: Successful completion of all J2 courses. 
Co-requisites: All S1 courses. 

NUR 4357 Nursing Leadership and Management 
This course teaches the leadership and management principles applicable to the professional nurse 
as a Member of the Profession, Provider of Patient-Centered Care, Patient Safety Advocate and 
Member of the Health Care Team.  Emphasis is placed on the knowledge, judgment, skills and 
professional values of a nurse leader within a legal/ethical framework.

Prerequisites: Successful completion of all J2 courses.

Corequisites: "
NUR 4385,Adult Health III Theory,4,"This course teaches the knowledge, skills, and attitudes necessary in the provision of patient-
centered nursing care for adults with complex physical and mental health problems. Emphasis is 
placed on the application of the nursing process and critical thinking utilizing research-based 
nursing practice in the context of patient centered care for health restoration, health promotion and 
health maintenance.

Prerequisites: Successful completion of all J2 courses.

Corequisites: "
NUR 4160,Community and Global Health Practicum,4,"This course teaches the knowledge, skills, and attitudes necessary in the provision of care for 
clients with health problems in the community setting.

Prerequisites: Successful completion of all S1 courses.

Corequisites: "
NUR 4280,Transition to Nursing Practice,4,"This course addresses role change from student to practicing registered nurse including team 
strategies for patient safety as well as concepts related to the nursing jurisprudence examination.

Prerequisites: Successful completion of all S1 courses.

Corequisites: "
NUR 4295,NCLEX Preparation and Review,4,"This course reviews key nursing content with separate, comprehensive units on medical-surgical, 
child health, childbearing and women’s health, and mental health/psychiatric nursing, followed by 
test questions written in NCLEX exam format.

Prerequisites: Successful completion of all S1 courses. Course Fee: $375

Corequisites: "
NUR 4360,Community and Global Health Theory,4,"This course teaches the knowledge, skills, and attitudes necessary in the provision of care for 
clients with health problems in the community setting.

Prerequisites: Successful completion of all S1 courses.

Corequisites: "
NUR 4370,Capstone Simulation and Practicum,4,"This course focuses on demonstration of quality and safety when providing care to multiple patients 
with complex health needs involving multi-system failure. Additionally, leadership, supervision and 
delegation strategies are emphasized.

Prerequisites: Successful completion of all S1 courses.

Corequisites: "
NUR 4389,Adult Health Nursing IV Theory,4,"This course builds on the knowledge, skills and attitudes necessary to provide patient-centered care 
nursing care for adults with complex physiologic, psychosocial conditions, and multi-system failure.  
Emphasis is placed on application of the nursing process and clinical reasoning using evidence-
based nursing practice in the context of patient-centered care for health restoration, promotion and 
maintenance.

Prerequisites: Successful completion of all S1 courses.

Corequisites: "
NUR 6301,Nursing Theory,6,"This course is designed to provide the essential information needed to understand and apply theory 
in practice, research, education, and leadership. This course provides a background of what theory 
is and how it is used in nursing in order to provide a foundation of knowledge for nursing practice.

Prerequisites: Admission to the Doctor of Nursing Practice (DNP) Program.

Corequisites: "
NUR 6302,Introduction to the Doctor of Nursing Practice Role & Scholarly Project,6,"This course provides an introduction to DNP roles and responsibilities as leaders, collaborators, 
scholars and advocates. DNP role expectations for theory, scholarship and involvement in 
healthcare policy and advocacy will be discussed along with various DNP roles and professional 
issues related to the DNP degree.

Prerequisites: Admission to the Doctor of Nursing Practice (DNP) Program.

Corequisites: "
NUR 6303,Academic Writing and Performing a Literature Review,6,"This course focuses on the skills and strategies necessary for articulating concepts and ideas in a 
scholarly manner. In this course, students will perform a comprehensive literature review, analyzing 
research and apply APA format and style rules for citing materials.

Prerequisites: Admission to the Doctor of Nursing Practice (DNP) Program.

Corequisites: "
PHL 3301,Survey of Western Philosophy,3,"Issues and problems of philosophy including the nature of reality, knowledge, and value. Selected 
study of major philosophers in the Western tradition.

Prerequisites: None

Corequisites: "
PHL 3302,Ethics in the Christian Tradition,3,"A study of ethical behavior and norms as developed in the Christian Tradition.  Attention is given to 
philosophical ethical theories, Christian ethical theories, and contemporary personal and moral 
issues as they related to those theories.

Prerequisites: REL 1301 and REL 1311

Corequisites: "
PHY 1401,Physics I,1,"Basic concepts of kinematics, dynamics, Newtonian physics, sound, and thermodynamics through 
lectures, laboratory experiences, and problem solving. Students should be co-enrolled in PHY 
1401L.

Prerequisites: MTH 1351 with a grade of C or higher, or math placement at a higher level. Course Fee

Corequisites: "
PHY 1402,Physics II,1,"Basic concepts of electromagnetism, and electromagnetic radiation including optics through 
lectures, laboratory experiences, and problem solving. Students should be co-enrolled in PHY 
1402L.

Prerequisites: PHY 1401 or equivalent with a grade of C or higher. Course Fee (PHY 1402L): $85

Corequisites: "
PHY 1441,Conceptual Physics,1,"An introductory investigation of the fundamental concepts of physics. Topics include: Linear 
Motion, Force, Momentum, Energy, Rotational Motion, Gravity, Projectile and Satellite Motion, 
Solids, Liquids, and Gases. This course has a required laboratory component.

Prerequisites: MTH 1351 with a grade of C or higher. Course Fee: $75

Corequisites: "
PHY 4301,Topics in Modern Physics,4,"Special relativity, statistical mechanics, the photoelectric effect and quantum physics, and nuclear 
physics and radioactivity.

Prerequisites: PHY 1402 with a grade of C or higher

Corequisites: "
POLS 1303,American Government and Citizenship,1,"This course encourages students to think about their government with insightful analysis while 
affirming fundamental concepts. Specifically, this course will focus on the U.S. Constitution and the 
Bill of Rights and emphasize the benefits, responsibilities and thoughtful perspective necessary for 
effective citizenship. Pre-Requisites: None 
 
POLS 2116/2216- Political Science Practicum  
This course provides students with the opportunity to experience mock governance in a 
competitive or collaborative environment. Students will select a program and fully engage in the 
required level of preparation, participation, and reflection. Acceptable mock governance programs 
include, but are not limited to, the following: Model Organization of American States, Moot Court, 
Texas Civic Ambassadors, Student Governance, Mediation and Academic Conference 
Presentations. Course can be taken for 1 or 2 credit hours and can be repeated for credit.

Prerequisites: None

Corequisites: "
POLS 2305,Texas State & Local Government,2,"This process-oriented class will focus on state and local governments with an emphasis on Texas. 
Specifically, this class will utilize field experiences to provide insight into political processes and 
issue advocacy.

Prerequisites: Passage of, or concurrent enrollment in, POLS 1303, or instructor approval.

Corequisites: "
POLS 2371H,American Politics (Honors),2,"This course encourages students to examine the role of political institutions, both personally and in 
society, with an emphasis on the American political experience. In addition to focusing on 
fundamental concepts of American politics, the course will contain extensive readings and 
discussions about applicable social, economic, and political topics. Pre-Requisites: Acceptance into the 
Honors Program or instructor approval. 
POLS 3003 - Readings in Political Science  
In this variable-credit course (1-3 credits) students will work with a faculty member to select a 
range of required reading materials pertaining to a mutually agreed upon topic. Students will 
receive credit upon the complete reading of the selected materials, submission of a book review for 
each and discussion of those readings with the supervising faculty member. Pre-Requisites: Instructor 
approval. 
POLS 3321 – Public Policy  
This course provides students with the tools for understanding and appreciating modern policy 
frameworks. With a specific focus on economic and environmental policy, this course will work to 
develop student understanding the processes, motivations, and forms of agenda setting, policy 
implementation and policy evaluation.

Prerequisites: Passage of, or concurrent enrollment in, POLS 1303 or POLS 2371H.

Corequisites: "
POLS 3322,– Introduction to Law,3,"Provides a foundational examination of the law and American jurisprudence. Specifically, this 
course will examine the following areas of the law: torts, family law, property, criminal law, 
contracts, wills and estates, and legal research.

Prerequisites: Passage of, or concurrent enrollment in, POLS 1303 or POLS 2371H.

Corequisites: "
POLS 1303,or POLS 2371H.,1,"POLS 3301- Environmental Policy  
This course provides an in-depth examination of the politics surrounding conservation and 
environmentalism. While the specific topics and concepts for this class will evolve, the class will 
focus on issues pertaining to climate change, land and resource management, resource 
 
 
conservation, sustainable agriculture, population, sustainable development, and global and national 
environmental regulations.

Prerequisites: Passage of, or concurrent enrollment in, POLS 1303 or POLS 2371H.

Corequisites: "
POLS 1303,or POLS 2371H.,1,"POLS 3304- Special Topics in Political Science  
Various course concepts and themes will be offered in the area of political science, law, or political 
economy. Course may be repeated for credit when topics vary.

Prerequisites: Passage of, or concurrent enrollment in, POLS 1303 or POLS 2371H.

Corequisites: "
POLS 1303,or POLS 2371H.,1,"POLS  3333- International Relations & Comparative Politics  
The focus of this course is the examination of the geopolitical realities and the governance 
structures of the modern world. Students will be introduced to a variety of global governance topics 
related to diplomacy, global governance institutions, human rights, cultural dimensions, and the use 
of hard and soft power.

Prerequisites: Passage of, or concurrent enrollment in, POLS 1303 or POLS 2371H.

Corequisites: "
POLS 1303,or POLS 2371H.,1,"POLS 3335 - Social Science Methods 
This course focuses on the use of quantitative and qualitative research methodology that is most 
commonly utilized by social science practitioners.  It will emphasize the use of techniques, and 
ethical constructs that are typically employed by those working in social science fields. Cross listed 
with CRIJ 3335.

Prerequisites: MTH 2301

Corequisites: "
POLS 3345,– Rights of the Criminally Accused,3,"This course will focus on the Constitutional rights of individuals who have been accused or 
convicted of crimes within the United States. Students will be introduced to a broad and critical 
understanding of American jurisprudence related to the 4th, 5th, 6th, 8th, 13th, and 14th Amendments, 
relevant case law, and substantive and procedural due process.

Prerequisites: Satisfactory completion or concurrent enrollment in POLS 1303, or permission of the

Corequisites: "
POLS 1303,or POLS 2371H.,1,"PSY 1311 Introduction to Psychology  
Scientific study of human behavior with emphasis on basic psychological functions.

Prerequisites: None.

Corequisites: "
PSY 2300,Careers and Vocation in Psychology,2,"This course uses a comprehensive approach to considering careers in psychology through the 
Lutheran lens of vocation.  Guided activities and projects will be used to assist in identifying 
students’ needs, values, wants, interests, and abilities.  Opportunities and resources will also be 
used to explore career paths related to psychology and to identify the skills and experiences 
required to be competitive in those industries.

Prerequisites: PSY 1311

Corequisites: "
PSY 2301,Life-Span Development,2,"Physical, cognitive, social, emotional and personality development of the individual from ""womb to 
tomb,"" with the principal focus being on these developmental stages in childhood and adolescence 
within the context of the complete life span.

Prerequisites: PSY 1311

Corequisites: "
PSY 2302,Human Sexuality & Gender,2,"Social-psychological and developmental aspects of human sexuality. Examples of topics include: 
courtship, pregnancy and delivery, sexual health, and sex education.

Prerequisites: PSY 1311

Corequisites: "
PSY 2303,Lutheran Ethos and Psychology,2,"Exploration of the relationship between Lutheran ethos and Psychology. Topics will include 
vocation, servant leadership, and learning as a lifelong pursuit. Personal growth and fulfillment will 
be emphasized.

Prerequisites: PSY 1311 and REL 1301

Corequisites: "
PSY 2305,Scientific Writing in Behavioral Sciences,2,"Introduction to scientific writing in the behavioral sciences, with specific emphasis on written 
communication of academically rigorous original research. Topics covered include journal article 
structure, APA format, and peer review.

Prerequisites: PSY 1311 or SOC 1301

Corequisites: "
PSY 2341,Statistics for the Behavioral Sciences,2,"An introduction to the fundamentals of descriptive and inferential statistics, especially as they apply 
t the behavioral and social sciences. Cross-listed as SOC 2341.

Prerequisites: PSY 1311 or SOC 1301

Corequisites: "
PSY 2391,Research Methods in the Behavioral Sciences,2,"Methods and approaches to research in the behavioral and social sciences. Cross-listed as SOC 
2391.

Prerequisites: PSY/SOC 2341

Corequisites: "
PSY 3302,Cognitive Psychology,3,"A comprehensive overview of the many facets of cognitive psychology including information 
processing, the complexities of memory, language acquisition and functions, problem solving and 
decision making, and basic neurology. Also includes an overview of learning theories with a more 
in-depth look at the principal ones.

Prerequisites: PSY 1311

Corequisites: "
PSY 3303,Neuropsychology,3,"Biological and cognitive aspects of neuropathological conditions, including relevant brain/behavior 
relationships. Introduction to neuropsychological assessment.

Prerequisites: PSY 1311

Corequisites: "
PSY 3304,Group Dynamics,3,"Theory and practice in small group communication; goal setting, problem solving, listening, 
feedback, and leadership. As part of the course experience, students will plan an off-campus trip 
with additional costs to student.  Cross-listed as COM 3304.

Prerequisites: PSY 1311

Corequisites: "
PSY 3305,Learning and Memory,3,"Explores principles of conditioning and motivation; approaches to learning, including acquisition of 
verbal materials, concepts, and motor skills. Explores processes underlying information storage and 
retrieval, including different kinds of memory, forgetting, and conditions associated with memory 
impairment.

Prerequisites: PSY 1311

Corequisites: "
PSY 3306,Sensation & Perception,3,"An introductory survey of the human senses and their role in perception, considering how we sense 
the physical environment and what factors influence our perception of it. Integrates theory, 
research, and application.

Prerequisites: PSY 1311

Corequisites: "
PSY 3312,Criminal Profiling,3,"Exposes the student to the distressful, painful and often devastating effects of maladaptive behavior. 
The course will explore the interwoven biological, psychological and social antecedents and 
correlates of criminal behavior. Psychological issues and their relation to criminal and anti-social 
behavior will be studied. Personal and societal attitudes, feelings and values about criminal and 
anti-social behavior will be discussed extensively.  Cross-listed as CRIJ 3312.

Prerequisites: PSY 1311

Corequisites: "
PSY 3315,History & Philosophy of Psychology,3,"This course studies and examines the development of psychology from its early roots in philosophy 
and religion, through its empirical bases, to its direction in today's society. The aim is to discover 
what relationships, if any, there are between psychology and justice. This course may replace three 
hours of social/behavioral sciences, if at least one course is not already designated in the major.

Prerequisites: PSY 1311

Corequisites: "
PSY 3325,Interpersonal Relationships,3,"Investigation into the communication and psychology of family dynamics, friendships, and romantic 
partners. One goal of this course will be to understand our own relationships and seek to improve 
them. In addition, students will examine relationship styles different from our own experiences in 
order to broaden our knowledge of relationship theories, practices, and cultural variations.     Cross 
listed with COM 3325.

Prerequisites: PSY 1311 or permission of instructor

Corequisites: "
PSY 3330,Social Psychology,3,"Examination of cultural and psychological influences in the development of individuals and 
societies. Cross-listed as SOC 3330.

Prerequisites: PSY 1311 and SOC 1301

Corequisites: "
PSY 3334,Exercise and Sports Psychology,3,"This class covers the psychological aspects of movement activities that underline performance. It 
also covers the intrinsic and extrinsic factors that must be recognized in order to understand, 
motivate, and evaluate human movement. Cross listed with KIN 3334.   Note: Does NOT count for 
core physical education requirements.

Prerequisites: PSY 1311

Corequisites: "
PSY 3331,Introduction to Counseling Skills,3,"An introductory course designed to acquaint students with current counseling theories and to 
acquire a beginning skill in counseling.

Prerequisites: None

Corequisites: "
PSY 3332,Personality Theories,3,"Applicability of major personality theories to understanding human behavior.

Prerequisites: PSY 1311

Corequisites: "
PSY 3335,Health Psychology,3,"Investigation of how biological, psychological, and social factors relate to disease states, illness, and 
stress.

Prerequisites: PSY 1311

Corequisites: "
PSY 3341,Abnormal Psychology,3,"Psychological abnormality, including anxiety, somatoform, obsessive-compulsive, and dissociative 
disorders; psychoses, mental retardation, brain dysfunction, sexual deviance, and other maladaptive 
behaviors.

Prerequisites: PSY 1311

Corequisites: "
PSY 3350,Biopsychology,3,"An introduction to the structure and function of the nervous system and the relationship between 
psychological processes and the brain in humans and other animals. Cross-listed with BIO 3350.

Prerequisites: PSY 3406 Animal Behavior

Corequisites: "
PSY 4310,Behavioral Sciences Internship,4,"Supervised on-the-job experience and involvement at one of Austin's agencies/companies. Interns 
will work with professional in the intern's field of specialization. A senior level course for Behavioral 
Science majors only. Graded Pass/Not Pass.   Fulfills Experiential Learning requirement.

Prerequisites: Senior standing, 3.0 GPA, 2.5 cumulative GPA, 18 credit hours of lower level and 9 credit

Corequisites: "
PSY 4360,Topics in Behavioral Sciences,4,"A seminar-style examination, discussion, and analysis of specific issue, population, theoretical 
approach, or person(s) studied in the Behavioral Sciences.  The focus of the seminar may be from a 
Psychological or Sociological perspective, or a combination of the two disciplines.  Students may 
repeat this course when the topic changes.  Cross listed with SOC 4360

Prerequisites: 6 hours of upper-level hours in the Behavioral Sciences or by consent of the instructor.

Corequisites: "
PUBH 1303,Intro to Population Health,1,"This course introduces students to the study of population health and what it means to live a long 
and healthy life. It includes examining the factors that can influence health and wellness as well as 
the various fields all connected to health. The course is interdisciplinary. It covers a broad range of 
 
 
issues including health communication, environmental health, infectious diseases, social health, and 
how to improve your community as well as your own life. This is an exciting eye-opening course 
that any student interested in his/her well-being or the well-being of others can take. Cross-listed 
with BADM 1303.

Prerequisites: None

Corequisites: "
PUBH 3314,Essentials: Global Public Health,3,"Examines the main functions of public health; disease prevention and health promotion. Students 
will learn the history and philosophy of public health, its core values and functions across the globe 
and in society. Students will examine the factors that impact health and how productivity is 
influenced by health outcomes since prevention is more cost effective than cure. Students will learn 
about working in both clinical care settings as well as institutions that promote population health. 
Case studies will be used. Cross-listed with BADM 3314.

Prerequisites: Recommended Sophomore level standing

Corequisites: "
PUBH 3315,Comparative Health Care System,3,"Examines the healthcare delivery system of the United States, it fundamental characteristics and 
organization as well as differences in the healthcare systems of other countries. Students will learn 
about the various agencies involved in health and access to healthcare will be reviewed. Students 
will have a better understanding of the composition of health workers in the United States and other 
countries. Innovative technologies and best practices will be studied. Cross-listed with BADM 3315.

Prerequisites: Recommended Sophomore level standing

Corequisites: "
PUBH 3323,"Globalization, Trade, Health Policy",3,"Examines the increasing interdependence of the world with greater connectivity affecting the speed 
of access to information. Key focus will be on the dimensions of globalization including trade in 
food, pharmaceutical products, tobacco as well as healthcare personnel and the shift in patterns of 
disease. Case studies will be used. Cross-listed with BADM 3323.

Prerequisites: Recommended Sophomore level standing

Corequisites: "
PUBH 3370,Health,3,"A fascinating study of communication in the field of health; focusing on the origins and theories of
health communication, and exploration of the complexities inherent in both verbal and nonverbal 
communication, and health messaging. Additional focus will be on several contemporary areas 
within the field of health communication research and practice. Cross-listed as COM 3370.

Prerequisites: Recommended Sophomore level standing

Corequisites: "
PUBH 4319,"Immigration, Violence, Disaster and Health",4,"Issues that impact vulnerable populations in the United States and other countries including the 
socioeconomic, behavioral, biological, environmental and other factors that impact human health 
and contribute to health disparities. Immigration, the impact of violence, natural and man-made 
disasters, terrorism and the organizations that respond to these issues will be examined. Cross-
listed with BADM 4319.

Prerequisites: Recommended Sophomore level standing

Corequisites: "
PUBH 4321,"Public Health Organizations, Ethics & Law",4,"Examines public health organizations that are local, national and international in focus, how they 
operate and the role they play in promoting health and preventing disease as well as those 
organizations not typically associated with health such as the United Nations, World Trade 
Organization, the Bill and Melinda Gates Foundation and Dell. Cross-listed with BADM 4321.

Prerequisites: None

Corequisites: "
PUBH 4302,Global Public Health Practicum,4,"Students will be engaged in internships in organizations in the United States with a health focus 
(healthcare delivery or population health); or organizations that are regional or international in 
scope that promote global health.  In the future opportunities for internships will be created for 
practical experiences working in other countries and in select international organizations (public 
and private). Fulfills experiential learning

Prerequisites: Course to be taken in the last year of program using Concordia’s internship guidelines

Corequisites: "
PUBH 4398,Program Management & Health Evaluation (capstone),4,"Examines health programs and the use of evidence to support the practice of health. Using theories 
and case studies examined in the Healthcare concentration, students will complete a critical 
analysis of the public health program of choice integrating lessons learned, best practices and the 
theories studied. Cross-listed with BADM 4398.

Prerequisites: None

Corequisites: "
RDG 3311,Foundations of Literacy,3,"This course offers an overview of the theoretical foundations of reading and writing instruction. It 
includes developing an understanding of the five components of an effective reading program 
(phonemic awareness, phonics, fluency, vocabulary, and comprehension), reading strategies, and 
the Texas Essential Knowledge and Skills (TEKS) to understand the importance of a successful 
reading program in early childhood through grade twelve.

Prerequisites: None

Corequisites: "
RDG 3326,Emergent Literacy and Language in Primary Grades,3,"This course focuses on developing literacy (speaking, listening, writing, and viewing) in primary 
grade elementary classrooms. Students will be expected to critically examine and reflect on ways in 
which teachers can provide the environment and experiences needed to promote literacy, 
development and learning of diverse children in inclusive classrooms.

Prerequisites: Admission to the Teacher Education Program and RDG 3311

Corequisites: "
RDG 3342,Disciplinary Literacy,3,"In this course content education students deepen their understanding of the literacy demands 
(listening, speaking, reading and writing) associated with their future teaching disciplines.  Students 
also develop skills for identifying the literacy demands required to complete a lesson and teaching 
those skills along with the content.  45 hours of fieldwork is required. Fulfills Experiential Learning 
 
 
requirement

Prerequisites: Admission to the Teacher Education Program

Corequisites: "
RDG 4327,Literary and Language in the Intermediate Grades,4,"This course focuses on appropriate methods of designing and implementing literacy instruction for 
students in the intermediate grades (3-8) based on the science of teaching reading. Students will 
observe, design, implement, and reflect on literacy lessons based on theory and research validated 
strategies for diverse learners. This course requires fieldwork.

Prerequisites: Admission to the Teacher Education Program and RDG 3326.

Corequisites: "
REL 1301,New Testament History and Reading,1,"The background, growth and content of the New Testament. Sources and chronology of the 
Apostolic Age and Early Jewish Christianity.

Prerequisites: None

Corequisites: "
REL 1311,History and Literature of the Old Testament,1,"A literary-historical interpretation of the Old Testament, with special emphasis on its religious 
significance.

Prerequisites: None

Corequisites: "
REL 1331,Introduction to Christianity,1,"An introduction to the historical background, sources, literature, and basic beliefs of the Christian 
tradition. Intended for students with little or no background in the knowledge and experience of the 
Christian faith. This course may not be taken by any student who has earned more than 3 credit 
hours in religion.  (Students seeking certification by Concordia University Texas for professional 
work in The Lutheran Church-Missouri Synod must satisfy all religion credit requirements by means 
other than this course).

Prerequisites: None

Corequisites: "
REL 3302,Luke-Acts,3,"Study of the two-volume work of Luke stressing the growth of the church.

Prerequisites: REL 1301 and REL 1311

Corequisites: "
REL 3303,Major Pauline Epistles,3,"Examination of major Pauline Epistles. Emphasis on theological perspective these contributed to 
the Apostolic Church and Protestant Reformation.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3305,"Law, Justice and Grace in the Biblical Perspective",3,"This course exposes students to the biblical concepts of law, justice, grace and the role of religion in 
modern American law. Students will read and discuss biblical passages dealing with the divine role 
of civil government, the law of God, civil disobedience, the death penalty, and the place of grace in 
a Christian's life. The course will also focus on freedom of religion and the proper roles of church 
 
 
and state.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3312,Wisdom Literature,3,"A study of Israelite wisdom writings, especially the books of Job, Ecclesiastes and Proverbs, and the 
application of their themes to contemporary issues.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3313,Major Prophets: Isaiah,3,"The interpretation of the prophecies of the Book of Isaiah with attention to historical events, literary 
style, and ancient and modern religious significance.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3333,"Introduction to Christian Ethics 3,0",3,"A study of ethical behavior and norms provided by the Christian faith. Attention given to both 
Christian ethical theory and contemporary personal and moral issues.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3335,Christian Apologetics,3,"This course will survey the nature, objectives, and significance of presenting a viable defense of the 
Christian faith against objections of the major philosophies and ideologies that conflict with the faith 
in this ""post Christian"" and ""post-modern"" age.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
